circuit,n,agreement_rate,disagreement_rate,mean_deviation_direction,mean_deviation_magnitude,fia_harsher_rate,normative_harsher_rate,manual_review_rate
baku,10,0.1,0.9,-1.4,1.4,0.9,0.0,0.9
spielberg,5,0.2,0.8,-1.0,1.0,0.8,0.0,0.8
marina_bay,14,0.21428571428571427,0.7857142857142857,-0.5,1.0714285714285714,0.5,0.2857142857142857,0.5714285714285714
abu_dhabi,9,0.2222222222222222,0.7777777777777778,-0.5555555555555556,0.7777777777777778,0.6666666666666666,0.1111111111111111,0.6666666666666666
s_o_paulo,4,0.25,0.75,-0.75,0.75,0.75,0.0,0.75
spa,7,0.2857142857142857,0.7142857142857143,-1.1428571428571428,1.1428571428571428,0.7142857142857143,0.0,0.8571428571428571
silverstone,6,0.3333333333333333,0.6666666666666667,-0.5,0.8333333333333334,0.5,0.16666666666666666,0.8333333333333334
shanghai,12,0.3333333333333333,0.6666666666666667,-0.9166666666666666,0.9166666666666666,0.6666666666666666,0.0,0.8333333333333334
monza,14,0.35714285714285715,0.6428571428571428,-0.7142857142857143,0.7142857142857143,0.6428571428571429,0.0,0.7857142857142857
qatar,8,0.375,0.625,-0.375,0.625,0.5,0.125,0.75
suzuka,10,0.4,0.6,-0.6,0.6,0.6,0.0,0.7
hockenheim,8,0.5,0.5,-0.375,0.625,0.375,0.125,0.5
barcelona,8,0.5,0.5,-0.125,0.625,0.25,0.25,0.5
emilia_romagna,4,0.5,0.5,-0.5,0.5,0.5,0.0,0.25
interlagos,2,0.5,0.5,-1.0,1.0,0.5,0.0,0.5
miami,13,0.6153846153846154,0.3846153846153846,-0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,0.5384615384615384
sochi,3,0.6666666666666666,0.33333333333333337,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
bahrain,13,0.6923076923076923,0.3076923076923077,-0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.6923076923076923
las_vegas,10,0.7,0.30000000000000004,-0.1,0.3,0.2,0.1,0.5
montreal,21,0.7142857142857143,0.2857142857142857,-0.23809523809523808,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.42857142857142855
hungaroring,7,0.7142857142857143,0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143
monaco,17,0.7647058823529411,0.23529411764705888,-0.11764705882352941,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.47058823529411764
paul_ricard,5,0.8,0.19999999999999996,-0.2,0.2,0.2,0.0,0.2
dutch,6,0.8333333333333334,0.16666666666666663,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666
mexico_city,6,0.8333333333333334,0.16666666666666663,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333
melbourne,7,0.8571428571428571,0.1428571428571429,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714
saudi_arabian,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
austin,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
