incident_type,n,agreement_rate,disagreement_rate,mean_deviation_direction,mean_deviation_magnitude,fia_harsher_rate,normative_harsher_rate,manual_review_rate
other,128,0.296875,0.703125,-0.875,0.875,0.703125,0.0,1.0
yellow_flag,11,0.36363636363636365,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.5454545454545454,0.0
unsafe_release,12,0.75,0.25,0.25,0.25,0.0,0.25,0.0
technical,5,0.8,0.19999999999999996,0.2,0.2,0.0,0.2,0.0
collision,12,0.8333333333333334,0.16666666666666663,-0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,1.0
pit_lane,45,0.8666666666666667,0.1333333333333333,-0.044444444444444446,0.13333333333333333,0.08888888888888889,0.044444444444444446,0.0
track_limits,15,0.8666666666666667,0.1333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0
overtaking,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
